molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2029431,active,7.863279432843593,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC(C)C)nc32)c1,556.6710000000003,4.587200000000005,2.0,8.0
CHEMBL2032376,active,8.91721462968355,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,528.6170000000003,3.808600000000003,2.0,8.0
CHEMBL2029430,active,8.355561410532161,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OCC)nc32)c1,542.6440000000003,4.198700000000003,2.0,8.0
CHEMBL2032379,active,7.785156151952302,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,515.5740000000004,3.8934000000000033,2.0,8.0
CHEMBL2029426,active,7.91721462968355,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccccc4)nc32)c1,400.44200000000006,4.048200000000002,2.0,5.0
CHEMBL2029435,active,9.136677139879543,C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,554.6550000000002,4.341200000000003,2.0,8.0
CHEMBL2029438,active,9.164309428507574,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,604.7150000000003,5.379000000000005,2.0,8.0
CHEMBL2029439,active,8.46470587995723,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(-c4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,666.7859999999998,7.050400000000009,2.0,8.0
CHEMBL2029441,active,8.614393726401687,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(OCc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,696.8119999999997,6.962400000000008,2.0,9.0
CHEMBL2029440,active,8.692503962086787,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(Oc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,682.7849999999997,7.175700000000008,2.0,9.0
CHEMBL2029437,active,8.872895201635192,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc4ccccc4c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,640.748,6.536600000000007,2.0,8.0
CHEMBL2029436,active,9.292429823902063,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,590.6880000000002,5.383400000000004,2.0,8.0
CHEMBL5200275,active,7.324221658325915,C=CC(=O)Nc1cccc(N2C(=O)OC(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,529.6010000000003,4.454400000000003,2.0,9.0
CHEMBL5203118,active,7.540607512240769,C=CC(=O)Nc1cccc(N2C(=O)OCc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,515.5740000000004,3.8934000000000024,2.0,9.0
CHEMBL4226646,active,6.0,C=CC(=O)Nc1cccc(NC(=O)C(C)(C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3OC)n2)c1,529.6450000000003,4.021400000000003,3.0,8.0
CHEMBL4229049,active,6.0,C=CC(=O)Nc1cccc(NC(=O)C2(C(=O)Nc3ccnc(Nc4ccc(N5CCN(C)CC5)cc4OC)n3)CC2)c1,570.6540000000001,3.4625000000000012,4.0,9.0
CHEMBL4224812,active,6.0,C=CC(=O)Nc1cccc(NC(=O)N(C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3OC)n2)c1,516.6060000000003,3.773400000000003,3.0,8.0
CHEMBL4229266,active,6.25924267669223,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C(=O)N(CC)CC)cc3OC)n2)c1,503.56300000000033,4.479300000000003,4.0,7.0
CHEMBL4226177,active,6.22657927670939,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3OC)n2)c1,530.5890000000004,3.384900000000002,4.0,8.0
CHEMBL4228848,active,6.248720896016658,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C(=O)N4CCOCC4)cc3OC)n2)c1,517.5460000000004,3.4697000000000013,4.0,8.0
CHEMBL4225571,active,6.1220530483708115,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C4CCN(C)CC4)cc3)n2)c1,471.5650000000003,4.797900000000003,4.0,6.0
CHEMBL4226436,active,6.886056647693163,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C4CCN(C)CC4)cc3OC)n2)c1,501.59100000000035,4.806500000000004,4.0,7.0
CHEMBL4225517,active,6.5003129173815966,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N(C)C)cc3)n2)c1,417.4730000000001,4.054700000000002,4.0,6.0
CHEMBL4225255,active,7.309803919971486,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N(C)CCN(C)C)cc3OC)n2)c1,504.5950000000003,3.9951000000000025,4.0,8.0
CHEMBL4229010,active,6.831207979685818,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N(CC)CC)cc3OC)n2)c1,475.5530000000003,4.843500000000003,4.0,7.0
CHEMBL4225191,active,7.346787486224656,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N(C)C)CC4)cc3OC)n2)c1,530.6330000000004,4.527700000000004,4.0,8.0
CHEMBL4228176,active,7.443697499232712,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N(CC)CC)CC4)cc3OC)n2)c1,558.6870000000004,5.307900000000005,4.0,8.0
CHEMBL4224932,active,7.096910013008056,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3OC)n2)c1,585.7130000000004,4.213500000000003,4.0,9.0
CHEMBL4225781,active,7.3872161432802645,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cc3OC)n2)c1,572.6700000000004,4.298300000000003,4.0,9.0
CHEMBL4226965,active,7.019996628416254,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1,472.5530000000003,3.7405000000000026,4.0,7.0
